segment_id,point_id,latitude,longitude,order_in_segment
1,42,22.00700000,113.00000000,1
1,43,22.00700000,113.00100000,2
1,44,22.00700000,113.00200000,3
1,39,22.00600000,113.00300000,4
1,34,22.00500000,113.00400000,5
1,40,22.00600000,113.00400000,6
1,46,22.00700000,113.00400000,7
1,47,22.00700000,113.00500000,8
1,41,22.00600000,113.00500000,9
1,35,22.00500000,113.00500000,10
1,29,22.00400000,113.00500000,11
1,22,22.00300000,113.00400000,12
1,23,22.00300000,113.00500000,13
1,16,22.00200000,113.00400000,14
1,17,22.00200000,113.00500000,15
1,10,22.00100000,113.00400000,16
1,11,22.00100000,113.00500000,17
1,5,22.00000000,113.00500000,18
1,4,22.00000000,113.00400000,19
1,3,22.00000000,113.00300000,20
1,2,22.00000000,113.00200000,21
1,9,22.00100000,113.00300000,22
1,1,22.00000000,113.00100000,23
1,8,22.00100000,113.00200000,24
1,15,22.00200000,113.00300000,25
2,0,22.00000000,113.00000000,1
2,7,22.00100000,113.00100000,2
2,14,22.00200000,113.00200000,3
2,6,22.00100000,113.00000000,4
2,13,22.00200000,113.00100000,5
2,12,22.00200000,113.00000000,6
2,19,22.00300000,113.00100000,7
2,18,22.00300000,113.00000000,8
2,25,22.00400000,113.00100000,9
2,32,22.00500000,113.00200000,10
2,26,22.00400000,113.00200000,11
2,20,22.00300000,113.00200000,12
2,21,22.00300000,113.00300000,13
2,28,22.00400000,113.00400000,14
2,27,22.00400000,113.00300000,15
2,33,22.00500000,113.00300000,16
2,45,22.00700000,113.00300000,17
2,38,22.00600000,113.00200000,18
2,31,22.00500000,113.00100000,19
2,24,22.00400000,113.00000000,20
2,30,22.00500000,113.00000000,21
2,36,22.00600000,113.00000000,22
2,37,22.00600000,113.00100000,23
