segment_id,point_id,latitude,longitude,order_in_segment
1,42,22.00700000,113.00000000,1
1,43,22.00700000,113.00100000,2
1,44,22.00700000,113.00200000,3
1,45,22.00700000,113.00300000,4
1,46,22.00700000,113.00400000,5
1,47,22.00700000,113.00500000,6
1,41,22.00600000,113.00500000,7
1,35,22.00500000,113.00500000,8
1,29,22.00400000,113.00500000,9
1,28,22.00400000,113.00400000,10
1,22,22.00300000,113.00400000,11
1,23,22.00300000,113.00500000,12
1,17,22.00200000,113.00500000,13
1,16,22.00200000,113.00400000,14
1,15,22.00200000,113.00300000,15
1,9,22.00100000,113.00300000,16
1,10,22.00100000,113.00400000,17
1,11,22.00100000,113.00500000,18
1,5,22.00000000,113.00500000,19
1,4,22.00000000,113.00400000,20
1,3,22.00000000,113.00300000,21
1,8,22.00100000,113.00200000,22
1,2,22.00000000,113.00200000,23
1,1,22.00000000,113.00100000,24
1,0,22.00000000,113.00000000,25
1,6,22.00100000,113.00000000,26
1,7,22.00100000,113.00100000,27
2,14,22.00200000,113.00200000,1
2,13,22.00200000,113.00100000,2
2,12,22.00200000,113.00000000,3
2,18,22.00300000,113.00000000,4
2,19,22.00300000,113.00100000,5
2,25,22.00400000,113.00100000,6
2,32,22.00500000,113.00200000,7
2,26,22.00400000,113.00200000,8
2,20,22.00300000,113.00200000,9
2,21,22.00300000,113.00300000,10
2,27,22.00400000,113.00300000,11
2,33,22.00500000,113.00300000,12
2,34,22.00500000,113.00400000,13
2,40,22.00600000,113.00400000,14
2,39,22.00600000,113.00300000,15
2,38,22.00600000,113.00200000,16
2,31,22.00500000,113.00100000,17
2,24,22.00400000,113.00000000,18
2,30,22.00500000,113.00000000,19
2,36,22.00600000,113.00000000,20
2,37,22.00600000,113.00100000,21
