segment_id,point_id,latitude,longitude,order_in_segment
1,110,22.00567602,113.00250000,1
2,99,22.00535842,113.00284255,1
3,88,22.00504082,113.00318510,1
4,77,22.00472322,113.00352765,1
5,66,22.00440561,113.00387021,1
6,55,22.00408801,113.00421276,1
7,44,22.00377041,113.00455531,1
8,33,22.00345281,113.00489786,1
9,22,22.00313520,113.00524041,1
10,11,22.00281760,113.00558296,1
11,111,22.00535842,113.00215745,1
12,0,22.00250000,113.00592551,1
13,100,22.00504082,113.00250000,1
14,89,22.00472322,113.00284255,1
15,78,22.00440561,113.00318510,1
16,67,22.00408801,113.00352765,1
17,56,22.00377041,113.00387021,1
18,45,22.00345281,113.00421276,1
19,34,22.00313520,113.00455531,1
20,23,22.00281760,113.00489786,1
21,12,22.00250000,113.00524041,1
22,112,22.00504082,113.00181490,1
23,1,22.00218240,113.00558296,1
24,101,22.00472322,113.00215745,1
25,90,22.00440561,113.00250000,1
26,79,22.00408801,113.00284255,1
27,68,22.00377041,113.00318510,1
28,57,22.00345281,113.00352765,1
29,46,22.00313520,113.00387021,1
30,35,22.00281760,113.00421276,1
31,24,22.00250000,113.00455531,1
32,13,22.00218240,113.00489786,1
33,113,22.00472322,113.00147235,1
34,2,22.00186480,113.00524041,1
35,102,22.00440561,113.00181490,1
36,91,22.00408801,113.00215745,1
37,80,22.00377041,113.00250000,1
38,69,22.00345281,113.00284255,1
39,58,22.00313520,113.00318510,1
40,47,22.00281760,113.00352765,1
41,36,22.00250000,113.00387021,1
42,25,22.00218240,113.00421276,1
43,14,22.00186480,113.00455531,1
44,114,22.00440561,113.00112979,1
45,3,22.00154719,113.00489786,1
46,103,22.00408801,113.00147235,1
47,92,22.00377041,113.00181490,1
48,81,22.00345281,113.00215745,1
49,70,22.00313520,113.00250000,1
50,59,22.00281760,113.00284255,1
51,48,22.00250000,113.00318510,1
52,37,22.00218240,113.00352765,1
53,26,22.00186480,113.00387021,1
54,15,22.00154719,113.00421276,1
55,115,22.00408801,113.00078724,1
56,4,22.00122959,113.00455531,1
57,104,22.00377041,113.00112979,1
58,93,22.00345281,113.00147235,1
59,82,22.00313520,113.00181490,1
60,71,22.00281760,113.00215745,1
61,60,22.00250000,113.00250000,1
62,49,22.00218240,113.00284255,1
63,38,22.00186480,113.00318510,1
64,27,22.00154719,113.00352765,1
65,16,22.00122959,113.00387021,1
66,116,22.00377041,113.00044469,1
67,5,22.00091199,113.00421276,1
68,105,22.00345281,113.00078724,1
69,94,22.00313520,113.00112979,1
70,83,22.00281760,113.00147235,1
71,72,22.00250000,113.00181490,1
72,61,22.00218240,113.00215745,1
73,50,22.00186480,113.00250000,1
74,39,22.00154719,113.00284255,1
75,28,22.00122959,113.00318510,1
76,17,22.00091199,113.00352765,1
77,117,22.00345281,113.00010214,1
78,6,22.00059439,113.00387021,1
79,106,22.00313520,113.00044469,1
80,95,22.00281760,113.00078724,1
81,84,22.00250000,113.00112979,1
82,73,22.00218240,113.00147235,1
83,62,22.00186480,113.00181490,1
84,51,22.00154719,113.00215745,1
85,40,22.00122959,113.00250000,1
86,29,22.00091199,113.00284255,1
87,18,22.00059439,113.00318510,1
88,118,22.00313520,112.99975959,1
89,7,22.00027678,113.00352765,1
90,107,22.00281760,113.00010214,1
91,96,22.00250000,113.00044469,1
92,85,22.00218240,113.00078724,1
93,74,22.00186480,113.00112979,1
94,63,22.00154719,113.00147235,1
95,52,22.00122959,113.00181490,1
96,41,22.00091199,113.00215745,1
97,30,22.00059439,113.00250000,1
98,19,22.00027678,113.00284255,1
99,119,22.00281760,112.99941704,1
100,8,21.99995918,113.00318510,1
101,108,22.00250000,112.99975959,1
102,97,22.00218240,113.00010214,1
103,86,22.00186480,113.00044469,1
104,75,22.00154719,113.00078724,1
105,64,22.00122959,113.00112979,1
106,53,22.00091199,113.00147235,1
107,42,22.00059439,113.00181490,1
108,31,22.00027678,113.00215745,1
109,20,21.99995918,113.00250000,1
110,120,22.00250000,112.99907449,1
111,9,21.99964158,113.00284255,1
112,109,22.00218240,112.99941704,1
113,98,22.00186480,112.99975959,1
114,87,22.00154719,113.00010214,1
115,76,22.00122959,113.00044469,1
116,65,22.00091199,113.00078724,1
117,54,22.00059439,113.00112979,1
118,43,22.00027678,113.00147235,1
119,32,21.99995918,113.00181490,1
120,21,21.99964158,113.00215745,1
120,10,21.99932398,113.00250000,2
